source_site,search_term,listing_title,listing_url,seller_name,seller_url,price_text,price_min,price_max,currency,shipping_text,orders_text,rating_text,store_rating_text,image_url,raw_brand,raw_calibre,raw_type,description_snippet
aliexpress.com,eta 15.562BE movement,Eta Stem G10.211 Stem G10.712 Stem G10.962 Stem G10.212 Movement Stem G10.712 Movement Stem G10962 Stem G10212 Stem G10712 Stem,https://www.aliexpress.com/item/1005008774676808.html,,,1.42 - 3.02,1.42,3.02,AUD,,309 sold,4.8,,//ae-pic-a1.aliexpress-media.com/kf/S4259c1edf03445e29396f9228e1d2014c.jpg,,,,Eta Stem G10.211 Stem G10.712 Stem G10.962 Stem G10.212 Movement Stem G10.712 Movement Stem G10962 Stem G10212 Stem G10712 Stem
aliexpress.com,eta 15.562BE movement,ETA stem 956 stem longer stem 24.5mm 956.112 stem 956.102 stem 956.114 stem 956.122 stem 956.132 stem 956.452 stem 956.412 stem,https://www.aliexpress.com/item/1005006871601482.html,,,3.96,3.96,3.96,AUD,,22 sold,5,,//ae-pic-a1.aliexpress-media.com/kf/S05765b2bc6374474b0c4f58f4d39fbaa9.jpg,,,,ETA stem 956 stem longer stem 24.5mm 956.112 stem 956.102 stem 956.114 stem 956.122 stem 956.132 stem 956.452 stem 956.412 stem
aliexpress.com,eta 15.562BE movement,ETA stem 256.031 stem 256.041 stem 256.111 stem 256.563 stem 256.513 stem 256.461 stem 256031 stem 256041 stem 256111 stem,https://www.aliexpress.com/item/1005006886338035.html,,,1.42 - 13.33,1.42,13.33,AUD,,63 sold,4.7,,//ae-pic-a1.aliexpress-media.com/kf/Sfe5b2631b2384d0fbbcce8f3b1b375f0y.jpg,,,,ETA stem 256.031 stem 256.041 stem 256.111 stem 256.563 stem 256.513 stem 256.461 stem 256031 stem 256041 stem 256111 stem
aliexpress.com,eta 15.562BE movement,40mm Watch Case 20mm Bracelet Set Sapphire Glass For Seiko Nh35 Nh36 Nh34 Eta 2824 Miyota 8215 Movement 28 5mm dial YACHT MASTER,https://www.aliexpress.com/item/1005009043944194.html,,,55.28 - 170.44,55.28,170.44,AUD,,381 sold,4.8,,//ae-pic-a1.aliexpress-media.com/kf/S7ded1d37aa404eeeb9803968594e9a10A.jpg,,,,40mm Watch Case 20mm Bracelet Set Sapphire Glass For Seiko Nh35 Nh36 Nh34 Eta 2824 Miyota 8215 Movement 28 5mm dial YACHT MASTER
aliexpress.com,eta 15.562BE movement,NEITON 28.5mm blue green white dial fit Miyota 8205 8215 821A ETA 2836 2824 Mingzhu DG2813 3804 NH35 movement luminous,https://www.aliexpress.com/item/1005009110257740.html,,,1.42 - 8.6,1.42,8.6,AUD,,86 sold,4.9,,//ae-pic-a1.aliexpress-media.com/kf/Sd471d98da3ce494bbeea4dbec2a29d50g.jpg,,,,NEITON 28.5mm blue green white dial fit Miyota 8205 8215 821A ETA 2836 2824 Mingzhu DG2813 3804 NH35 movement luminous
aliexpress.com,eta 15.562BE movement,NEITON 28.5mm blue luminous dial fit Miyota 8205 8215 821A ETA 2836 2824 Mingzhu DG2813 3804 NH35 movement,https://www.aliexpress.com/item/1005008497847599.html,,,1.42 - 36.61,1.42,36.61,AUD,,26 sold,4.5,,//ae-pic-a1.aliexpress-media.com/kf/Sb084bcd7dca246d6b52329caae3f70b8A.jpg,,,,NEITON 28.5mm blue luminous dial fit Miyota 8205 8215 821A ETA 2836 2824 Mingzhu DG2813 3804 NH35 movement
aliexpress.com,eta 15.562BE movement,NEITON 41mm Stainless Steel Case Sapphire Glass Fit  ETA 2836 2824 Miyota 8215 DG2813 ST1612 NH36 NH35 Movement Waterproof,https://www.aliexpress.com/item/1005008824203767.html,,,28.59 - 114.36,28.59,114.36,AUD,,19 sold,5,,//ae-pic-a1.aliexpress-media.com/kf/S2e868319a0ae4fbf96f77c2483cafd189.jpg,,,,NEITON 41mm Stainless Steel Case Sapphire Glass Fit  ETA 2836 2824 Miyota 8215 DG2813 ST1612 NH36 NH35 Movement Waterproof
aliexpress.com,eta 15.562BE movement,40mm NH35 Watch Case Sapphire Glass For Submariner Seiko NH35 NH36 NH34 NH38 Eta 2824 Miyota 8215 Movement 28.5mm Dial New bezel,https://www.aliexpress.com/item/1005010763988995.html,,,42.19 - 56.02,42.19,56.02,AUD,,3 sold,5,,//ae-pic-a1.aliexpress-media.com/kf/Sc0fc125ff1fc4d0b8f6c9659decda511v.jpg,,,,40mm NH35 Watch Case Sapphire Glass For Submariner Seiko NH35 NH36 NH34 NH38 Eta 2824 Miyota 8215 Movement 28.5mm Dial New bezel
aliexpress.com,eta 15.562BE movement,Watch hands  luminous hands fit NH35 NH36 ETA 2836 2824 Miyota 8205 8215 821A Mingzhu DG 2813 3804 movement,https://www.aliexpress.com/item/1005004697314323.html,,,5.19 - 5.82,5.19,5.82,AUD,,10 sold,5,,//ae-pic-a1.aliexpress-media.com/kf/S1198a0acc2a4454eb5f4cac47b9591a7T.jpg,,,,Watch hands  luminous hands fit NH35 NH36 ETA 2836 2824 Miyota 8205 8215 821A Mingzhu DG 2813 3804 movement
aliexpress.com,eta 210.001 movement,Watch movement circuit board ETA quartz IC 955.112 280.002 210.001 956.412 255.111 f06.111 e03.001,https://www.aliexpress.com/item/1005011763424259.html,,,68.99 - 160.44,68.99,160.44,AUD,,5 sold,,,//ae-pic-a1.aliexpress-media.com/kf/Scd88cf2fb48f4805878e1818ea8f32d3M.jpg,,,,Watch movement circuit board ETA quartz IC 955.112 280.002 210.001 956.412 255.111 f06.111 e03.001
