suburb,state_code,suburb_normalized,winner_shop_number,winner_label,winner_distance_km,runner_up_shop_number,runner_up_label,runner_up_distance_km
Sydney,NSW,sydney,2243,Burwood,9.8,2213,Warringah,12.82
Haymarket,NSW,haymarket,2243,Burwood,9.17,2213,Warringah,14.29
Australia Square,NSW,australia square,2243,Burwood,9.71,2213,Warringah,12.47
Grosvenor Place,NSW,grosvenor place,2243,Burwood,16.37,2213,Warringah,22.04
Royal Exchange,NSW,royal exchange,2243,Burwood,9.86,2213,Warringah,12.33
Queen Victoria Building,NSW,queen victoria building,2243,Burwood,9.53,2213,Warringah,13.22
Sydney South,NSW,sydney south,2243,Burwood,9.8,2213,Warringah,12.82
Darlinghurst,NSW,darlinghurst,2243,Burwood,10.78,2213,Warringah,13.36
Eastern Suburbs Mc,NSW,eastern suburbs mc,2243,Burwood,12.76,2213,Warringah,21.37
Potts Point,NSW,potts point,2243,Burwood,11.17,2213,Warringah,12.19
Kings Cross,NSW,kings cross,2243,Burwood,11.14,2213,Warringah,12.75
Woollahra,NSW,woollahra,2243,Burwood,12.81,2213,Warringah,13.73
Bondi Junction,NSW,bondi junction,2243,Burwood,13.57,2213,Warringah,14.16
Double Bay,NSW,double bay,2243,Burwood,12.7,2213,Warringah,12.76
Strawberry Hills,NSW,strawberry hills,2243,Burwood,9.69,2213,Warringah,14.84
Eveleigh,NSW,eveleigh,2243,Burwood,8.3,2213,Warringah,16.18
Alexandria,NSW,alexandria,2243,Burwood,8.69,2213,Warringah,17.51
Waterloo,NSW,waterloo,2243,Burwood,9.8,2213,Warringah,16.14
Rosebery,NSW,rosebery,2243,Burwood,10.33,2213,Warringah,18.56
Camperdown,NSW,camperdown,2243,Burwood,7.03,2213,Warringah,15.87
Botany,NSW,botany,2243,Burwood,11.6,2213,Warringah,21.29
Mascot,NSW,mascot,2243,Burwood,10.21,2213,Warringah,19.57
Kensington,NSW,kensington,2243,Burwood,11.62,2213,Warringah,16.67
Unsw Sydney,NSW,unsw sydney,2243,Burwood,12.59,2213,Warringah,17.29
Drummoyne,NSW,drummoyne,2243,Burwood,5.53,2213,Warringah,14.34
West Chatswood,NSW,west chatswood,2243,Burwood,10.48,2213,Warringah,10.59
Northbridge,NSW,northbridge,2213,Warringah,7.26,2243,Burwood,12.67
Milsons Point,NSW,milsons point,2243,Burwood,10.54,2213,Warringah,10.63
Artarmon,NSW,artarmon,2213,Warringah,9.24,2243,Burwood,10.71
Crows Nest,NSW,crows nest,2213,Warringah,9.07,2243,Burwood,10.96
St Leonards,NSW,st leonards,2213,Warringah,9.51,2243,Burwood,10.34
Lane Cove,NSW,lane cove,2243,Burwood,9.05,2213,Warringah,11.08
Lane Cove Dc,NSW,lane cove dc,2243,Burwood,9.03,2213,Warringah,11.11
Hornsby,NSW,hornsby,2213,Warringah,17.25,2243,Burwood,19.22
Hornsby Westfield,NSW,hornsby westfield,2213,Warringah,17.06,2243,Burwood,19.22
North Ryde,NSW,north ryde,2243,Burwood,9.48,2213,Warringah,14.24
North Ryde Bc,NSW,north ryde bc,2243,Burwood,9.48,2213,Warringah,14.24
Gladesville,NSW,gladesville,2243,Burwood,5.67,2213,Warringah,15.11
RYDE,NSW,ryde,2243,Burwood,6.86,2213,Warringah,16.45
West Ryde,NSW,west ryde,2243,Burwood,8.09,2213,Warringah,17.97
Epping,NSW,epping,2243,Burwood,11.66,2213,Warringah,17.74
Pennant Hills,NSW,pennant hills,2243,Burwood,15.67,2213,Warringah,18.54
Seven Hills,NSW,seven hills,2243,Burwood,19.34,2213,Warringah,31.32
