brand,model,size,height,power,source
ETA,E210.001,9 L (20.00mm),0.98mm,SR716SW,labanda
ETA,E251.242-RD4 *(Phase Out)*,13¼ L (30.00 x 5mm),4.80mm,SR936W,labanda
ETA,E251.264-RD4 *(Special Order)*,13¼ L (30.00mm),5.00mm,SR936SW,labanda
ETA,E251.265 *(Phased Out)*,13¼,7.46mm,394,labanda
ETA,E251.272-RD4,13¼ L (30.00mm),4.60mm,SR936SW,labanda
ETA,E251.274-RD4,13¼ L (30.00mm),4.60mm,SR936SW,labanda
ETA,E251.474-RD4 *(Phase Out)*,10½ L (23.30mm),4.70mm,SR936SW,labanda
ETA,E256.041,8¼,1.95mm,321,labanda
ETA,E280.002,3¾ x 6¾ L (9.00 x 15.15mm),1.80mm,SR616SW,labanda
ETA,E282.001,5½ x 8 L,1.25mm,346,labanda
ETA,E282.002 *(Disc)*,5½ x 8 L (13.00 x 17.80mm),1.20mm,SR712SW,labanda
ETA,E2824-2,11½ L,4.60mm,Automatic,labanda
ETA,E2836/2,11½ L,5.05mm,Automatic,labanda
ETA,E2893/2 *(Special Order)*,11½ L (25.6mm),4.10mm,Automatic,labanda
ETA,E6497-1,16½ L (37.00mm),4.5mm,Manual,labanda
ETA,E7750,13¼ L (30.00mm),7.90mm,Automatic,labanda
ETA,E7753,13¼,7.90mm,—,labanda
ETA,E801.104 *(Phase Out)*,5½ x 6¾,2.50mm,379,labanda
ETA,E802.002,6¾ x 8,2.95mm,377,labanda
ETA,E802.102,6¾ x 8 L (15.30 x 17.80mm),2.95mm,SR626SW,labanda
ETA,E803.112-D3,8¾ L (19.40mm),3.65mm,SR626SW,labanda
ETA,E803.114-D6,8¾ L (19.40mm),3.40mm,SR626SW,labanda
ETA,E803.124,8¾ L (19.40mm),3.65mm,SR626SW,labanda
ETA,E804.112-D3,10½,3.40mm,397,labanda
ETA,E804.114-D3,10½ L (23.30mm),3.40mm,SR626SW,labanda
ETA,E804.114-D6,10½ L (23.30mm),3.40mm,SR626SW,labanda
ETA,E804.124 *(Phase Out)*,10½ L (23.30mm),3.40mm,SR626SW,labanda
ETA,E805.112-D3,11½ L (25.60mm),3.65mm,SR626SW,labanda
ETA,E805.112-D6 *(Phased Out)*,11½ L (25.60mm),3.65mm,SR626SW,labanda
ETA,E805.114-D6,11½ L (25.60mm),3.40mm,SR626SW,labanda
ETA,E805.124-DD3,11½ L (25.60mm),3.65mm,SR626SW,labanda
ETA,E805.161 D3,11½ L,—,397,labanda
ETA,E901.001,5½ x 6¾ L (13.00 x 15.15mm),2.20mm,SR616SW,labanda
ETA,E901.005 *(Disc)*,5½ x 6¾ L (13.00 x 15.15mm),2.20mm,SR616SW,labanda
ETA,E902.002,6¾ x 8 L (15.30 x 17.80mm),2.35mm,SR621SW,labanda
ETA,E902.005,6¾ x 8 L (15.30 x 17.80mm),2.35mm,SR621SW,labanda
ETA,E902.101,6¾ x 8 L (15.30 x 17.80mm),2.35mm,SR621SW,labanda
ETA,E902.505 *(Phase Out)*,6¾ x 8 L (15.30 x 17.80mm),2.90mm,SR621SW,labanda
ETA,E955.112-D3,11½ L (25.60mm),2.50mm,SR920SW,labanda
ETA,E955.112-D3-2H *(Phase Out)*,11½ L (25.60mm),3.00mm,SR920SW,labanda
ETA,E955.112-D6 *(Disc)*,11½ L (25.60mm),2.50mm,SR920SW,labanda
ETA,E955.122 *(Disc)*,11½ L (25.60mm),3.00mm,SR920SW,labanda
ETA,E955.132 *(Phased Out)*,11½,3.00mm,371,labanda
ETA,E955.412-D3 *(Disc)*,10½ L (23.30mm),2.50mm,SR920SW,labanda
ETA,E955.412-D3-2H *(Phase Out)*,10½ L (23.30mm),3.00mm,SR920SW,labanda
ETA,E955.412-D6 *(Disc)*,10½ L (23.30mm),3.00mm,SR920SW,labanda
ETA,E955.422 *(Disc)*,10½ L (23.30mm),3.00mm,SR920SW,labanda
ETA,E955.424,10½,3.00mm,371,labanda
ETA,E956.112-D3 *(Disc)*,7¾ L (17.20mm),2.50mm,SR621SW,labanda
ETA,E956.112-D3-2H *(Disc)*,7¾ L (17.20mm),2.50mm,SR621SW,labanda
ETA,E956.112-D6 *(Disc)*,7¾ L (17.20mm),2.50mm,SR621SW,labanda
ETA,E956.122,7¾ L (17.20mm),3.00mm,SR621SW,labanda
ETA,E956.412-D3 *(Disc)*,8¾ L (19.40mm),2.50mm,SR721SW,labanda
ETA,E956.412-D3-2H,8¾ L (19.40mm),2.50mm,SR721SW,labanda
ETA,E956.412-D6 *(Disc)*,8¾ L (19.40mm),2.50mm,SR721SW,labanda
ETA,E956.612-D3 *(Disc)*,8¾ L (19.40mm),4.50mm,CR1616,labanda
ETA,E976.001,5½ x 6¾ L (13.00 x 15.15mm),1.95mm,SR616SW,labanda
ETA,E980.106,5½ x 6¾ L (13.00 x 15.15mm),2.20mm,SR516SW,labanda
ETA,E980.108 *(Disc)*,5½ x 6¾ L (13.00 x 15.15mm),2.20mm,SR516SW,labanda
ETA,E980.153,5½ x 6¾ L (13.00 x 15.15mm),2.20mm,SR516SW,labanda
ETA,E980.163,5½ x 6¾ L (13.00 x 15.15mm),2.20mm,SR516SW,labanda
ETA,EE01.001,4⅞ L (11mm),2.50mm,SR516SW,labanda
ETA,EE03.001,5½ x 6¾ L (13.00 x 15.15mm),1.35mm,SR512SW,labanda
ETA,EE61.041,8¼ L (18.20mm),1.95mm,SR616SW,labanda
ETA,EE61.041-D6,8¼ L (18.20mm),1.95mm,SR616SW,labanda
ETA,EE61.111-D3AO,8¼ L (18.20mm),1.95mm,SR616SW,labanda
ETA,EE63.041,10½ L (23.70mm),1.95mm,SR920SW,labanda
ETA,EE63.111-D3,10½ L (23.30mm),1.95mm,SR920SW,labanda
ETA,EE63.111-D6,10½ L (23.30mm),1.95mm,SR920SW,labanda
ETA,EE64.111-D3,11½ L (25.60mm),1.95mm,SR916SW,labanda
ETA,EE64.111-D6,11½ L (25.60mm),1.95mm,SR916SW,labanda
ETA,EF03.111-D3,7¾ L (17.20mm),2.50mm,SR621SW,labanda
ETA,EF03.111-D3V1,7¾ L (17.20mm),2.50mm,SR621SW,labanda
ETA,EF03.111-D6,7¾ L (17.20mm),2.50mm,SR621SW,labanda
ETA,EF03.115-D3,7¾,2.50mm,364,labanda
ETA,EF03.115-D6,7¾,2.50mm,364,labanda
ETA,EF03.11A-D3,7¾ L (17.20mm),2.50mm,SR621SW,labanda
ETA,EF04.111-D3,8¾ L (19.40mm),2.50mm,SR621SW,labanda
ETA,EF04.111-D6,8¾ L (19.40mm),2.50mm,SR621SW,labanda
ETA,EF04.115-D3,8¾ L (19.40mm),2.50mm,SR621SW,labanda
ETA,EF04.115-D6,8¾ L (19.40mm),2.50mm,SR621SW,labanda
ETA,EF04.11A-D3,8¾ L (19.40mm),2.50mm,SR621SW,labanda
ETA,EF05.111-D3,10½ L (23.30mm),2.50mm,SR920SW,labanda
ETA,EF05.111-D6,10½ L (23.30mm),2.50mm,SR920SW,labanda
ETA,EF05.115-D3,10½ L (23.30mm),2.50mm,SR920SW,labanda
ETA,EF05.115-D6,10½ L (23.30mm),2.50mm,SR920SW,labanda
ETA,EF05.11A-D3,10½ L (23.30mm),2.50mm,SR920SW,labanda
ETA,EF06.111-D3,11½ L (25.60mm),2.50mm,SR920SW,labanda
ETA,EF06.111-D3A0,11½ L (25.00mm),—,SR920SW,labanda
ETA,EF06.111-D6,11½ L (25.60mm),2.50mm,SR920SW,labanda
ETA,EF06.115-D3,11½ L (25.60mm),2.50mm,SR920SW,labanda
ETA,EF06.115-D3-2H,11½ L (25.60mm),2.50mm,SR920SW,labanda
ETA,EF06.115-D6,11½ L (25.60mm),2.50mm,SR920SW,labanda
ETA,EF06.161-D3,11½,3.60mm,371,labanda
ETA,EF07.111-D3,13¼,—,371,labanda
ETA,EF07.115-D3,13¼,2.50mm,SR920SW,labanda
ETA,EG10.212-D3,13¼ L (29.80mm),5.12mm,SR936SW,labanda
ETA,EG10.212-D6,13¼ L (29.80mm),5.12mm,SR936SW,labanda
ETA,EG10.212-HD4,13¼ L (29.80mm),5.12mm,SR936SW,labanda
ETA,EG10.212-RD4,13¼ L (29.80mm),5.12mm,SR936SW,labanda
ETA,EG10.712-HD4,13¼ L (29.80mm),5.62mm,SR936SW,labanda
ETA,EG10.712-RD4,13¼ L (29.80mm),5.62mm,SR936SW,labanda
ETA,EG15.211-D6,10½,5.25mm,394,labanda
ETA,EG15.211-HD4,10¼ L (23.30mm),5.25mm,SR936SW,labanda
ETA,EG15.212-RD4,10¼ L (23.30mm),5.25mm,SR936SW,labanda
ETA,EG15.261-HD4,10¼ L (23.30mm),5.25mm,SR936SW,labanda
ETA,EG15.562BE,10½,5.25mm,394,labanda
ETA,P7001,10½ L (23.3mm),2.50mm,Mechanical,labanda
ETA,SW200-1,11½ (25.6mm),4.6mm,Automatic,labanda
FE,FE5820PLATE,5½ x 6¾ L (13.00 x 15.15mm),0.35mm,—,labanda
FE,FE6120 *(Disc)*,6¾ x 8 L (15.30 x 17.80mm),2.55mm,SR621SW,labanda
FE,FE6130,6¾ x 8 L (15.30 x 17.80mm),2.55mm,SR621SW,labanda
FE,FE7021,8¾ L (19.40mm),3.00mm,SR920SW,labanda
FE,FE7022,8¾ L (19.40mm),3.55mm,SR721SW,labanda
FE,FE7122,10½ L (23.30mm),3.43mm,SR920SW,labanda
FE,FE7221,11½ L (25.60mm),3.20mm,SR920SW,labanda
Seiko/TMI,H1E20,4¼ L (9.00 x 9.40mm),2.70mm,SR512SW,labanda
Seiko/TMI,H1F20,4¼ x 5½ L (10.00 x 12.50mm),1.80mm,SR512SW,labanda
Seiko/TMI,H1F21,4¾ L,2.40mm,SR512SW,labanda
Seiko/TMI,H1N00,4¾ x 6½ L (10.80 x 14.50mm),1.90mm,SR516SW,labanda
Seiko/TMI,H1N01,4¾ x 6½ L (10.80 x 14.50mm),2.30mm,SR521SW,labanda
Seiko/TMI,H6N22,6¾ x 8 L (15.15 x 18.2mm),2.79mm,364,labanda
Seiko/TMI,H7N00,6¾ x 8 L (15.30 x 17.80mm),2.10mm,SR621SW,labanda
Seiko/TMI,H7N01,6¾ x 8 L (15.30 x 17.80mm),2.10mm,SR516SW,labanda
Seiko/TMI,H7N32-D3,10½ L (21.30 x 21.50mm),2.57mm,SR920SW,labanda
